category,screen_name
Credit,CC1
Credit,CC1Category
Credit,CC3
Credit,Credit1
Credit,Credit2
Credit,Credit3
Credit,Credit3Container
Credit,Credit3Dashboard
Loan,Loan
Loan,Loan2
Loan,Loan3
Loan,Loan4
Saving,TransactionList
Saving,Saving1
Saving,Saving10
Saving,Saving2
Saving,Saving2Amount
Saving,Saving4
Saving,Saving5
Saving,Saving6
Saving,Saving7
Saving,Saving8
Saving,Saving9
Basic,AccountView
Basic,Alerts
Basic,BankVerification
Basic,NetworkFailure
Basic,Cycle
Basic,Finances
Basic,Login
Basic,WebView
Basic,SecurityModal
Basic,ResendToken
Basic,Splash
Profile,EditProfile
Profile,ProfileChildren
Profile,ProfileEducation
Profile,ProfileEducationMajor
Profile,ProfileEmploymentLength
Profile,ProfileJobTitle
Profile,ProfileMaritalStatus
Profile,ProfilePage
Verify,VerifyAnnualIncome
Verify,VerifyCountry
Verify,VerifyDateOfBirth
Verify,VerifyHousing
Verify,VerifyHousingAmount
Verify,VerifyIncomeType
Verify,VerifyMobile
Verify,VerifyPhone
Game,Leaderboard
Game,ListPicker
Game,idscreen
Game,Institutions
Game,location
Game,RewardDetail
Game,Rewards
Game,RewardsContainer